config,dtype,default(us),cuda1(us),cuda2(us),cuda3(us)
b=1|s=1024,fp32,38.86,79.63,36.95,32.90
b=2|s=1024,fp32,40.53,85.12,32.66,36.95
b=4|s=1024,fp32,39.10,78.68,36.95,46.97
b=8|s=1024,fp32,149.25,159.74,138.04,139.47
b=16|s=1024,fp32,278.23,291.11,267.51,267.51
b=32|s=1024,fp32,536.20,543.12,519.99,518.80
b=1|s=2048,fp32,38.62,81.06,33.14,36.72
b=2|s=2048,fp32,39.34,79.87,35.76,46.97
b=4|s=2048,fp32,149.49,159.26,138.76,139.71
b=8|s=2048,fp32,277.04,290.87,267.51,266.79
b=16|s=2048,fp32,535.25,543.59,520.23,519.28
b=32|s=2048,fp32,1047.61,1047.85,1023.77,1025.20
