config,dtype,default(us),cuda1(us),cuda2(us),cuda3(us),triton(us),
b=1|s=1024,bf16,55.31,72.24,27.66,27.89,79.63,
b=2|s=1024,bf16,54.84,71.53,27.66,30.99,84.88,
b=4|s=1024,bf16,55.07,71.76,31.23,42.92,99.42,
b=8|s=1024,bf16,189.78,78.20,43.15,69.14,143.05,
b=16|s=1024,bf16,613.21,157.12,135.90,129.94,245.33,
b=32|s=1024,bf16,1264.81,282.76,261.07,274.42,451.56,
b=1|s=2048,bf16,54.84,72.48,28.13,30.99,85.12,
b=2|s=2048,bf16,54.60,74.15,31.23,43.15,97.27,
b=4|s=2048,bf16,190.02,78.20,42.44,68.90,142.57,
b=8|s=2048,bf16,613.21,158.07,136.14,129.94,245.57,
b=16|s=2048,bf16,1266.96,283.00,262.26,274.18,451.09,
b=32|s=2048,bf16,2521.51,531.44,513.55,532.63,861.64,
