config,dtype,default(ms),cuda1(ms),cuda2(ms),cuda3(ms)
b=4|s=128,fp32,36.72,78.20,36.00,23.37
b=4|s=256,fp32,38.62,79.63,33.86,23.37
b=4|s=512,fp32,39.34,80.59,33.14,37.91
b=4|s=1024,fp32,39.10,80.11,36.00,31.71
b=4|s=2048,fp32,148.77,159.26,138.76,45.06
b=4|s=4096,fp32,277.52,289.92,267.03,142.34
b=8|s=128,fp32,37.67,80.59,33.38,22.89
b=8|s=256,fp32,38.86,79.39,32.42,30.28
b=8|s=512,fp32,38.39,81.06,36.48,32.42
b=8|s=1024,fp32,149.73,160.22,138.28,44.35
b=8|s=2048,fp32,277.04,290.16,268.46,142.81
b=8|s=4096,fp32,533.10,541.93,519.51,267.98
